track_name,artist_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_year,genres,loudness_scaled,Likes,Views,Comment_Emotion,release_date,time_frame,country_hit,US_hit,total_months_above_10,num_peak_periods,gap_lengths,highest_peak_value,normalized_likes,normalized_views,normalized_us_hit,normalized_high_peak,likes_per_day,views_per_day,genre_averaged_likes,normalized_num_peak_periods,popularity_score_scaled
Blinding Lights,The Weeknd,0.514,0.73,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2020,"['Pop', 'Jazz']",0.7874875868917577,9607410,771316084,joy,2020-03-20,1354,Zambia,25.0,29,3,"[1, 1]",100.0,16.07804533778208,20.46360881508844,3.258096538021482,4.61512051684126,0.011874479570001536,0.015113448164762509,0.02576656315027823,0.3333333333333333,43.66047104373588
Dance Monkey,Tones And I,0.824,0.587,0.0937,0.69,0.000105,0.149,0.514,98.029,2021,['Pop'],0.7565706719629263,15476288,2073595827,joy,2019-10-17,1509,Uzbekistan,11.0,5,1,[],12.0,16.55481966870417,21.45255005216033,2.4849066497880004,2.5649493574615367,0.010970722113124035,0.014216401625023413,0.029204952713310077,0.1111111111111111,41.465744375703665
The Box,Roddy Ricch,0.896,0.586,0.0559,0.104,0.0,0.79,0.642,116.971,2019,['Rap'],0.7376365441906654,8341049,537036318,joy,2019-12-06,1459,Zambia,19.0,11,1,[],100.0,15.936699665690856,20.101576283333234,2.995732273553991,4.61512051684126,0.010923029243105453,0.01377763967329214,0.02156894152568066,0.1111111111111111,23.29085344764384
Roses - Imanbek Remix,"SAINt JHN, Imanbek",0.785,0.721,0.0506,0.0149,0.00432,0.285,0.894,121.962,2019,"['Pop', 'Rap']",0.8190665342601788,3396595,294172172,joy,2019-09-13,1543,Kyrgyzstan,7.0,34,2,[2],100.0,15.038284311603876,19.499675776342027,2.0794415416798357,4.61512051684126,0.009746133708103615,0.01263750860423981,0.02538694711949537,0.2222222222222222,33.66076371634425
Dont Start Now,Dua Lipa,0.793,0.793,0.083,0.0123,0.0,0.0951,0.679,123.95,2020,['Pop'],0.8810327706057597,6938645,684704318,joy,2019-10-31,1495,Philippines,23.0,27,5,"[1, 5, 1, 2]",100.0,15.752617212583784,20.344497651943456,3.1780538303479458,4.61512051684126,0.01053686770072494,0.013608359633406994,0.029204952713310077,0.5555555555555556,53.59518819876307
ROCKSTAR feat Roddy Ricch,"DaBaby, Roddy Ricch",0.746,0.69,0.164,0.247,0.0,0.101,0.497,89.977,2020,"['Pop', 'Rap', 'Hip Hop']",0.6536246276067528,2833749,178013378,joy,2020-04-17,1326,Philippines,39.0,29,8,"[1, 4, 1, 3, 2, 2, 5]",100.0,14.857111480803876,18.99736926835312,3.6888794541139363,4.61512051684126,0.011204458130319665,0.014326824485937495,0.02525660760688822,0.8888888888888888,49.338176028253585
Watermelon Sugar,Harry Styles,0.548,0.816,0.0465,0.122,0.0,0.335,0.557,95.39,2019,['Pop'],0.9016881827209532,6288972,357473598,joy,2019-12-13,1452,New Zealand,86.0,33,3,"[2, 1]",100.0,15.654308340306057,19.69457206842032,4.465908118654584,4.61512051684126,0.010781204091119875,0.013563754868058072,0.029204952713310077,0.3333333333333333,29.40377114818064
death bed coffee for your head,"Powfu, beabadoobee",0.726,0.431,0.135,0.731,0.0,0.696,0.348,144.026,2020,"['Pop', 'Rock', 'Rap']",0.600066203243959,9030140,643845486,sadness,2020-02-08,1395,Philippines,12.0,9,3,"[14, 2]",100.0,16.0160785398892,20.2829693282629,2.5649493574615367,4.61512051684126,0.011481059885225233,0.014539762959328245,0.022385682457978357,0.3333333333333333,33.63011207049236
Falling,Trevor Daniel,0.785,0.431,0.0364,0.123,0.0,0.0887,0.236,127.085,2020,['Rap'],0.6006620324395896,6438251,359330932,joy,2020-03-26,1348,Nigeria,2.0,38,5,"[1, 2, 1, 1]",91.0,15.677767632665706,19.6997543407799,1.0986122886681098,4.5217885770490405,0.011630391418891474,0.014614061083664615,0.02156894152568066,0.5555555555555556,45.77144638716267
Someone You Loved,Lewis Capaldi,0.501,0.405,0.0319,0.751,0.0,0.105,0.446,109.891,2019,['Pop'],0.8043694141012909,8507264,760711450,sadness,2019-05-17,1662,Philippines,14.0,48,2,[2],100.0,15.95643106228982,20.449764673094666,2.70805020110221,4.61512051684126,0.009600740711365716,0.012304310874304853,0.029204952713310077,0.2222222222222222,39.591781775335605
