track_name,tempo,mean_zcr,median_zcr,std_zcr,max_zcr,aboveThr_zcr,mean_sc,median_sc,std_sc,max_sc,aboveThr_sc,mean_sb,median_sb,std_sb,max_sb,aboveThr_sb,mean_sr,median_sr,std_sr,max_sr,aboveThr_sr,pitch1_intensity,pitch2_intensity,pitch3_intensity,pitch4_intensity,pitch5_intensity,pitch6_intensity,pitch7_intensity,pitch8_intensity,pitch9_intensity,pitch10_intensity,pitch11_intensity,pitch12_intensity,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,MFCC_Variability,Band1,Band2,Band3,Band4,Band5,Band6,contrast_del_mean,contrast_avg_sd,Tone1,Tone2,Tone3,Tone4,Tone5,Tone6,Tone_deltaMean,Tone_avg_sd
0800 HEAVEN,143.5546875,0.0918,0.0913,0.0527,0.6323,0.4358,2196.7699,2259.6592,862.0266,9478.6023,0.6042,2331.2462,2513.221,666.7971,3754.4206,0.5114,4728.9286,4834.2041,1925.8513,10766.6016,0.4662,0.2647,0.3537,0.2344,0.3508,0.2321,0.323,0.3347,0.2671,0.3522,0.2563,0.3489,0.2823,5.5541,3.0732,2.4736,1.6951,1.2822,1.4232,1.2689,1.1712,1.0357,1.0683,0.9891,0.9474,1.0098,1.0664,1.0635,1.1857,1.2618,1.1511,1.1645,1.2034,376.6197,6.6285,4.6999,4.9923,6.3464,6.665,9.0936,0.6804,6.128429,0.1183,0.1248,0.1614,0.127,0.0527,0.0522,0.00906,0.106067
1 2 3 feat Jason Derulo  De La Ghetto,95.703125,0.1278,0.1172,0.0813,0.6621,0.6041,2811.9937,2768.6767,1057.0624,10351.8626,0.804,2604.8508,2717.4267,616.8115,3841.107,0.665,5730.4877,5986.2305,1994.9052,10831.2012,0.6457,0.279,0.3312,0.2773,0.3498,0.305,0.2717,0.2858,0.2765,0.3517,0.2845,0.3065,0.3219,9.2162,4.1293,3.2312,2.3754,2.153,1.981,1.765,1.5449,1.5711,1.4981,1.4366,1.3481,1.2738,1.1904,1.2036,1.2044,1.2333,1.1961,1.2025,1.1395,393.4086,6.199,6.1897,6.5334,6.6508,6.3726,7.4554,0.7764,6.554386,0.1012,0.0931,0.1172,0.1136,0.0526,0.0427,0.008302,0.086733
1-800-273-8255,99.38401442307692,0.0546,0.0513,0.036,0.5591,0.0772,1304.7007,1292.1408,704.0683,6975.9769,0.1107,1662.0259,1730.5978,683.9529,3816.3979,0.0813,2589.1031,2508.6182,1587.0625,9593.042,0.0802,0.3436,0.2418,0.2472,0.3009,0.2316,0.3827,0.2274,0.2961,0.3539,0.2251,0.339,0.2333,4.027,2.5816,1.6087,1.3302,1.2263,1.1338,1.028,0.945,1.0058,0.9169,0.8847,0.8313,0.8057,0.7904,0.7709,0.7845,0.7566,0.7633,0.7932,0.7416,371.7688,7.6217,4.546,5.3055,5.4683,6.4196,9.2594,0.547,7.073,0.1273,0.1493,0.1888,0.1297,0.0764,0.0543,0.00794,0.120967
10000 Hours with Justin Bieber,89.10290948275862,0.0861,0.0767,0.054,0.7466,0.2736,2203.6222,2095.3605,810.6085,6728.9282,0.565,2476.4106,2539.5618,522.3295,3690.1453,0.5381,4849.2964,4769.6045,1754.3293,10217.5049,0.4618,0.3264,0.2486,0.327,0.2408,0.2269,0.3488,0.2433,0.3362,0.242,0.2772,0.356,0.2381,6.1865,3.2224,2.3038,1.8855,1.491,1.4945,1.3069,1.207,1.2858,1.1826,1.1469,1.1046,1.0733,1.0153,0.9416,0.9478,0.969,0.9613,1.0131,1.0173,348.4424,6.6496,4.9255,5.9301,6.2522,6.2784,6.8022,0.7019,6.036029,0.171,0.1398,0.158,0.1599,0.0739,0.0751,0.010723,0.129617
1035,117.45383522727273,0.0659,0.0596,0.0404,0.3638,0.169,1902.0979,1809.4044,744.1248,6320.4453,0.4019,2290.0601,2299.936,590.3412,3934.2929,0.3926,4188.597,3972.876,1908.0923,9506.9092,0.3252,0.3132,0.3273,0.2697,0.3399,0.2689,0.3417,0.2579,0.2681,0.3273,0.2695,0.3425,0.2551,7.2288,4.3214,2.8596,2.0581,1.6392,1.6572,1.8357,1.4771,1.626,1.3056,1.3198,1.2403,1.3102,1.1937,1.2207,1.2192,1.1773,1.255,1.1125,1.1822,337.2446,5.5607,5.0822,4.9196,5.191,6.6733,6.7644,0.7153,5.311143,0.0965,0.0808,0.0913,0.1028,0.0356,0.0374,0.006332,0.074067
1950,143.5546875,0.0767,0.0708,0.0523,0.6343,0.2057,1619.2692,1503.6442,789.4232,6632.751,0.2219,1809.0194,1749.9921,664.2339,3852.2412,0.1629,3071.208,2637.8174,1704.1563,10131.3721,0.1124,0.2474,0.3425,0.2334,0.2733,0.3708,0.2563,0.3195,0.2508,0.3424,0.3041,0.2155,0.3431,6.0742,3.7423,2.6068,1.7643,1.5171,1.5506,1.2727,1.2615,1.1128,1.0089,1.0547,1.0648,0.9884,0.9381,0.8686,0.8412,0.8942,0.9101,0.9642,0.9195,355.3961,6.2751,4.5878,4.6686,4.4132,7.5498,9.1176,0.6408,5.915771,0.1654,0.1426,0.1846,0.2042,0.069,0.0803,0.010726,0.141017
2002,129.19921875,0.1135,0.0952,0.0927,0.7544,0.468,2828.3359,2811.3292,1188.3626,10226.204,0.8154,2748.5692,2912.9116,733.2341,4110.8641,0.7968,6204.9251,6847.5586,2270.9148,10777.3682,0.7267,0.2906,0.3214,0.2709,0.2996,0.3514,0.2683,0.3316,0.2451,0.3667,0.2874,0.2659,0.3551,7.5085,4.3449,2.6083,2.2752,1.6796,1.7477,1.7529,1.3781,1.2818,1.4207,1.2708,1.2306,1.1941,1.1677,1.187,1.2409,1.306,1.4359,1.3766,1.362,409.1449,6.5758,6.1335,6.6005,6.277,5.895,7.1352,0.7022,6.629529,0.1491,0.1125,0.1915,0.1236,0.06,0.0731,0.00972,0.1183
24K Magic,107.666015625,0.1212,0.1113,0.0706,0.7246,0.5932,2608.3058,2534.4292,835.5454,7355.5701,0.8041,2553.2268,2584.1593,435.266,4030.4493,0.5733,5457.8875,5512.5,1550.6552,10282.1045,0.6084,0.3204,0.2858,0.2786,0.3171,0.2963,0.3496,0.2986,0.3176,0.3066,0.2657,0.3207,0.2735,9.266,4.2789,3.3437,2.677,1.8218,1.5837,1.6925,1.3826,1.3309,1.2207,1.2566,1.1478,1.1015,1.0837,1.037,1.063,1.1324,1.1506,1.1831,1.1497,335.9335,5.946,4.758,5.4564,6.349,7.3659,7.8769,0.6948,6.028343,0.0875,0.1249,0.1238,0.0992,0.0534,0.0433,0.007355,0.088683
3 Nights,75.99954044117646,0.0607,0.0547,0.0545,0.6919,0.1532,1517.0789,1427.6746,1011.5241,6629.8906,0.2889,1797.9464,1954.9442,935.7755,3842.0607,0.2648,3216.5241,2858.5327,2273.9301,10077.5391,0.2412,0.3444,0.2887,0.3405,0.2853,0.2766,0.291,0.2754,0.3418,0.2862,0.3113,0.3369,0.309,9.7991,4.7311,3.3855,2.2699,2.0578,1.9521,1.5771,1.4369,1.3326,1.2779,1.1918,1.1607,1.1685,1.0471,1.0574,1.0516,1.0061,1.0295,1.0103,0.9677,438.9806,6.762,5.0216,6.0044,6.4299,8.7193,10.0505,0.7427,7.708571,0.1397,0.1461,0.1488,0.1448,0.0505,0.0615,0.009262,0.115233
3435 Remix feat Doja Cat Megan Thee Stallion - Remix,112.34714673913044,0.1099,0.0923,0.0891,0.8032,0.4557,2682.6328,2664.1431,1263.9485,8289.2597,0.6595,2693.3411,2810.8268,671.0441,4304.8967,0.642,5688.0841,6169.2627,2520.418,10335.9375,0.5938,0.3313,0.2729,0.3006,0.2904,0.2866,0.3229,0.2744,0.346,0.2945,0.3163,0.34,0.311,9.1338,4.3228,4.1446,2.5525,2.0236,2.2909,1.7302,1.6296,1.6419,1.4732,1.3752,1.2034,1.2358,1.1623,1.1982,1.2071,1.1636,1.2163,1.2034,1.1878,443.2884,6.3496,5.8046,6.4833,6.5973,6.5696,7.619,0.7448,6.097486,0.0995,0.1343,0.155,0.1393,0.059,0.0526,0.00953,0.106617
